,County,TotalPop,State
679,Madison County,4318,Alabama
680,Madison County,3445,Alabama
681,Madison County,3147,Alabama
682,Madison County,4154,Alabama
683,Madison County,2742,Alabama
684,Madison County,4195,Alabama
685,Madison County,2864,Alabama
686,Madison County,4253,Alabama
687,Madison County,6982,Alabama
688,Madison County,4335,Alabama
689,Madison County,2317,Alabama
690,Madison County,6406,Alabama
691,Madison County,3866,Alabama
692,Madison County,2749,Alabama
693,Madison County,4761,Alabama
694,Madison County,9505,Alabama
695,Madison County,5817,Alabama
696,Madison County,7697,Alabama
697,Madison County,4079,Alabama
698,Madison County,5936,Alabama
699,Madison County,6179,Alabama
700,Madison County,12821,Alabama
701,Madison County,3533,Alabama
702,Madison County,5711,Alabama
703,Madison County,7389,Alabama
704,Madison County,10623,Alabama
705,Madison County,6807,Alabama
706,Madison County,8349,Alabama
707,Madison County,9155,Alabama
708,Madison County,8622,Alabama
709,Madison County,10135,Alabama
710,Madison County,14881,Alabama
711,Madison County,3189,Alabama
712,Madison County,9373,Alabama
713,Madison County,6078,Alabama
714,Madison County,5260,Alabama
715,Madison County,8992,Alabama
716,Madison County,5205,Alabama
717,Madison County,7491,Alabama
718,Madison County,1488,Alabama
719,Madison County,11948,Alabama
720,Madison County,6413,Alabama
721,Madison County,4263,Alabama
722,Marengo County,4732,Alabama
723,Marengo County,4189,Alabama
724,Marengo County,1648,Alabama
725,Marengo County,2542,Alabama
726,Marengo County,2335,Alabama
727,Marengo County,4297,Alabama
728,Marion County,4355,Alabama
729,Marion County,2580,Alabama
730,Marion County,1482,Alabama
731,Marion County,5052,Alabama
732,Marion County,5405,Alabama
733,Marion County,2361,Alabama
734,Marion County,3407,Alabama
735,Marion County,5416,Alabama
736,Marshall County,3160,Alabama
737,Marshall County,5203,Alabama
738,Marshall County,4560,Alabama
739,Marshall County,6779,Alabama
740,Marshall County,4505,Alabama
741,Marshall County,3430,Alabama
742,Marshall County,7270,Alabama
743,Marshall County,6324,Alabama
744,Marshall County,3541,Alabama
745,Marshall County,3654,Alabama
746,Marshall County,5614,Alabama
747,Marshall County,7919,Alabama
748,Marshall County,4175,Alabama
749,Marshall County,5740,Alabama
750,Marshall County,5657,Alabama
751,Marshall County,5701,Alabama
752,Marshall County,5471,Alabama
753,Marshall County,6035,Alabama
754,Mobile County,1391,Alabama
755,Mobile County,1230,Alabama
756,Mobile County,789,Alabama
757,Mobile County,1791,Alabama
758,Mobile County,1985,Alabama
759,Mobile County,2392,Alabama
760,Mobile County,2377,Alabama
761,Mobile County,4950,Alabama
762,Mobile County,1847,Alabama
763,Mobile County,1917,Alabama
764,Mobile County,1514,Alabama
765,Mobile County,1663,Alabama
766,Mobile County,1716,Alabama
767,Mobile County,1912,Alabama
768,Mobile County,5992,Alabama
769,Mobile County,2659,Alabama
770,Mobile County,1620,Alabama
771,Mobile County,1447,Alabama
772,Mobile County,1383,Alabama
773,Mobile County,2680,Alabama
774,Mobile County,2526,Alabama
775,Mobile County,3047,Alabama
776,Mobile County,1588,Alabama
777,Mobile County,3857,Alabama
778,Mobile County,2790,Alabama
779,Mobile County,1982,Alabama
780,Mobile County,1775,Alabama
781,Mobile County,3151,Alabama
782,Mobile County,3562,Alabama
783,Mobile County,2080,Alabama
784,Mobile County,2243,Alabama
785,Mobile County,2403,Alabama
786,Mobile County,4561,Alabama
787,Mobile County,3854,Alabama
788,Mobile County,3445,Alabama
789,Mobile County,4642,Alabama
790,Mobile County,2593,Alabama
791,Mobile County,2946,Alabama
792,Mobile County,3839,Alabama
793,Mobile County,2564,Alabama
794,Mobile County,2740,Alabama
795,Mobile County,3967,Alabama
796,Mobile County,4488,Alabama
797,Mobile County,2599,Alabama
798,Mobile County,1916,Alabama
799,Mobile County,3164,Alabama
800,Mobile County,7372,Alabama
801,Mobile County,3574,Alabama
802,Mobile County,3644,Alabama
803,Mobile County,2470,Alabama
804,Mobile County,1432,Alabama
805,Mobile County,757,Alabama
