,ARRIVE_TIME
1218,26095.0
1219,26100.0
1220,26105.0
1221,26110.0
1222,26115.0
1223,26120.0
1224,26125.0
1225,26130.0
1226,26135.0
1227,26140.0
1228,26145.0
1229,26150.0
1230,26155.0
1231,26160.0
1232,26165.0
1233,26170.0
1234,26175.0
1235,26180.0
1236,26185.0
1237,26190.0
1238,26195.0
1239,26200.0
1240,54518.0
